Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.990990990990991,0.9898305084745763,0.9965870307167235,0.9931972789115646,0.9939199421377394
Random Forest,0.9977477477477478,0.9965986394557823,1.0,0.9982964224872232,1.0
Decision Tree,0.9864864864864865,0.979933110367893,1.0,0.9898648648648649,0.9801324503311258
SVM,0.9977477477477478,0.9965986394557823,1.0,0.9982964224872232,0.9992541192957077
